time_ms,current_nA
0,0.09
0.000735031,0.09
0.00147006,0.09
0.00262336,0.09
0.00438959,0.09
0.00785574,0.09
0.0113219,0.09
0.014788,0.09
0.0222666,0.09
0.0297452,0.09
0.0429791,0.09
0.0562131,0.09
0.0871903,0.09
0.136834,0.09
0.186477,0.09
0.23612,0.09
0.285764,0.09
0.335407,0.09
0.38505,0.09
0.472652,0.09
0.560253,0.09
0.647854,0.09
0.814729,0.09
0.981604,0.09
1.14848,0.09
1.31535,0.09
1.48223,0.09
1.6491,0.09
1.94159,0.09
2.23407,0.09
2.52655,0.09
3.00064,0.09
3.47473,0.09
3.94882,0.09
4.70764,0.09
5.46646,0.09
6.22529,0.09
6.98411,0.09
7.74293,0.09
8.50175,0.09
9.26058,0.09
10.0194,0.09
10.7782,0.09
11.537,0.09
12.2959,0.09
13.0547,0.09
13.8135,0.09
14.5723,0.09
15.3312,0.09
16.09,0.09
16.8488,0.09
17.6076,0.09
18.3665,0.09
19.1253,0.09
19.8841,0.09
20.6429,0.09
21.4017,0.09
22.1606,0.09
22.9194,0.09
23.6782,0.09
24.437,0.09
25.1959,0.09
25.9547,0.09
26.464,0.09
26.9734,0.09
27.4827,0.09
27.9921,0.09
28.5015,0.09
29.0108,0.09
29.5202,0.09
30.0295,0.09
30.5389,0.09
31.0482,0.09
31.5576,0.09
32.0669,0.09
32.5763,0.09
33.0856,0.09
33.595,0.09
34.1043,0.09
34.6137,0.09
35.1231,0.09
35.459,0.09
35.7949,0.09
36.1308,0.09
36.4668,0.09
36.8027,0.09
37.1386,0.09
37.4746,0.09
37.8105,0.09
38.1464,0.09
38.4824,0.09
38.8183,0.09
39.1542,0.09
39.4902,0.09
39.8261,0.09
40.162,0.09
40.6806,0.09
41.1993,0.09
41.7179,0.09
42.2365,0.09
43.0526,0.09
43.8687,0.09
44.6849,0.09
46.0907,0.09
47.4965,0.09
48.9023,0.09
50.3082,0.09
51.714,0.09
53.1198,0.09
54.5256,0.09
55.9314,0.09
57.3373,0.09
58.7431,0.09
60.1489,0.09
61.5547,0.09
62.9605,0.09
64.3664,0.09
65.7722,0.09
67.178,0.09
68.5838,0.09
69.9897,0.09
71.3955,0.09
72.8013,0.09
73.5953,0.09
74.3892,0.09
75.1832,0.09
75.9772,0.09
76.7711,0.09
77.5651,0.09
78.359,0.09
79.153,0.09
79.947,0.09
80.7409,0.09
81.5349,0.09
82.3289,0.09
83.1228,0.09
83.9168,0.09
84.7107,0.09
85.5047,0.09
86.2987,0.09
87.0926,0.09
87.5989,0.09
88.1052,0.09
88.6115,0.09
89.1178,0.09
89.624,0.09
90.3845,0.09
91.145,0.09
