time_ms,voltage_mv
0,-70
0.000735031,-69.9866
0.00147006,-69.9743
0.00262336,-69.9565
0.00438959,-69.9325
0.00785574,-69.8929
0.0113219,-69.8604
0.014788,-69.8323
0.0222666,-69.7848
0.0297452,-69.7435
0.0429791,-69.6803
0.0562131,-69.6271
0.0871903,-69.5287
0.136834,-69.4158
0.186477,-69.3356
0.23612,-69.2719
0.285764,-69.2169
0.335407,-69.1673
0.38505,-69.1214
0.472652,-69.0465
0.560253,-68.9775
0.647854,-68.9125
0.814729,-68.797
0.981604,-68.689
1.14848,-68.5863
1.31535,-68.4881
1.48223,-68.3937
1.6491,-68.3025
1.94159,-68.1491
2.23407,-68.0023
2.52655,-67.8608
3.00064,-67.6408
3.47473,-67.4305
3.94882,-67.2284
4.70764,-66.9192
5.46646,-66.6256
6.22529,-66.346
6.98411,-66.0788
7.74293,-65.8234
8.50175,-65.5787
9.26058,-65.3442
10.0194,-65.1193
10.7782,-64.9041
11.537,-64.6973
12.2959,-64.5
13.0547,-64.3107
13.8135,-64.1291
14.5723,-63.9556
15.3312,-63.7913
16.09,-63.6304
16.8488,-63.4773
17.6076,-63.3321
18.3665,-63.1925
19.1253,-63.0629
19.8841,-62.9413
20.6429,-62.818
21.4017,-62.7055
22.1606,-62.6026
22.9194,-62.5007
23.6782,-62.4055
24.437,-62.3146
25.1959,-62.2112
25.9547,-62.1288
26.464,-62.092
26.9734,-62.0482
27.4827,-61.9915
27.9921,-61.9401
28.5015,-61.8963
29.0108,-61.8497
29.5202,-61.804
30.0295,-61.7674
30.5389,-61.7277
31.0482,-61.688
31.5576,-61.6543
32.0669,-61.6208
32.5763,-61.5805
33.0856,-61.5545
33.595,-61.5239
34.1043,-61.487
34.6137,-61.4579
35.1231,-61.4382
35.459,-61.4136
35.7949,-61.3916
36.1308,-61.381
36.4668,-61.3704
36.8027,-61.3537
37.1386,-61.3395
37.4746,-61.3301
37.8105,-61.3176
38.1464,-61.3024
38.4824,-61.2901
38.8183,-61.2796
39.1542,-61.2665
39.4902,-61.254
39.8261,-61.2443
40.162,-61.2349
40.6806,-61.219
41.1993,-61.2017
41.7179,-61.1876
42.2365,-61.1753
43.0526,-61.1559
43.8687,-61.1381
44.6849,-61.1224
46.0907,-61.0989
47.4965,-61.0793
48.9023,-61.0637
50.3082,-61.0517
51.714,-61.0424
53.1198,-61.036
54.5256,-61.0325
55.9314,-61.0305
57.3373,-61.03
58.7431,-61.0335
60.1489,-61.0363
61.5547,-61.0378
62.9605,-61.0486
64.3664,-61.0564
65.7722,-61.0496
67.178,-61.0619
68.5838,-61.0701
69.9897,-61.0802
71.3955,-61.1126
72.8013,-61.0957
73.5953,-61.0904
74.3892,-61.0986
75.1832,-61.1123
75.9772,-61.1219
76.7711,-61.1294
77.5651,-61.1315
78.359,-61.1402
79.153,-61.1508
79.947,-61.1524
80.7409,-61.1558
81.5349,-61.1661
82.3289,-61.1672
83.1228,-61.1714
83.9168,-61.186
84.7107,-61.1877
85.5047,-61.1813
86.2987,-61.2003
87.0926,-61.2046
87.5989,-61.1987
88.1052,-61.1986
88.6115,-61.2075
89.1178,-61.2137
89.624,-61.2161
90.3845,-61.2225
91.145,-61.2281
91.9054,-61.2322
93.3015,-61.2416
94.6975,-61.2502
96.0936,-61.2576
97.4896,-61.2663
98.8857,-61.2744
100.282,-61.2802
101.678,-61.2874
103.074,-61.2956
104.47,-61.3002
105.866,-61.3053
107.262,-61.314
108.658,-61.3183
110.054,-61.3202
111.45,-61.3291
112.846,-61.335
114.242,-61.3329
115.638,-61.3402
117.034,-61.3504
118.431,-61.3508
119.827,-61.3557
121.223,-61.3579
122.619,-61.3566
124.015,-61.361
125.411,-61.3637
126.807,-61.3629
128.203,-61.3687
129.599,-61.3735
130.995,-61.3694
132.391,-61.3722
133.787,-61.3812
135.183,-61.3753
136.579,-61.3723
137.975,-61.3864
139.371,-61.3835
140.767,-61.3859
142.164,-61.3861
143.56,-61.3811
145.895,-61.3866
148.23,-61.3838
150.565,-61.3865
152.9,-61.3944
155.235,-61.3823
