time_ms,current_nA
0,0.09
0.000735030756942,0.09
0.00147006151388,0.09
0.002623361744,0.09
0.00438959305681,0.09
0.00785573958875,0.09
0.0113218861207,0.09
0.0147880326526,0.09
0.0222666145085,0.09
0.0297451963643,0.09
0.0429791314826,0.09
0.0562130666009,0.09
0.0871902998642,0.09
0.136833629831,0.09
0.186476959798,0.09
0.236120289765,0.09
0.285763619732,0.09
0.335406949698,0.09
0.385050279665,0.09
0.472651648928,0.09
0.560253018192,0.09
0.647854387455,0.09
0.814729248635,0.09
0.981604109815,0.09
1.148478971,0.09
1.31535383218,0.09
1.48222869336,0.09
1.64910355454,0.09
1.94158595826,0.09
2.23406836198,0.09
2.5265507657,0.09
3.00063911227,0.09
3.47472745884,0.09
3.94881580541,0.09
4.70763887982,0.09
5.46646195423,0.09
6.22528502864,0.09
6.98410810305,0.09
7.74293117746,0.09
8.50175425188,0.09
9.26057732629,0.09
10.0194004007,0.09
10.7782234751,0.09
11.5370465495,0.09
12.2958696239,0.09
13.0546926983,0.09
13.8135157727,0.09
14.5723388472,0.09
15.3311619216,0.09
16.089984996,0.09
16.8488080704,0.09
17.6076311448,0.09
18.3664542192,0.09
19.1252772936,0.09
19.884100368,0.09
20.6429234424,0.09
21.4017465169,0.09
22.1605695913,0.09
22.9193926657,0.09
23.6782157401,0.09
24.4370388145,0.09
25.1958618889,0.09
25.9546849633,0.09
26.4640388002,0.09
26.9733926371,0.09
27.482746474,0.09
27.9921003109,0.09
28.5014541479,0.09
29.0108079848,0.09
29.5201618217,0.09
30.0295156586,0.09
30.5388694955,0.09
31.0482233324,0.09
31.5575771693,0.09
32.0669310062,0.09
32.5762848431,0.09
33.08563868,0.09
33.5949925169,0.09
34.1043463538,0.09
34.6137001907,0.09
35.1230540276,0.09
35.4589851633,0.09
35.794916299,0.09
36.1308474346,0.09
36.4667785703,0.09
36.802709706,0.09
37.1386408416,0.09
37.4745719773,0.09
37.810503113,0.09
38.1464342486,0.09
38.4823653843,0.09
38.81829652,0.09
39.1542276556,0.09
39.4901587913,0.09
39.826089927,0.09
40.1620210626,0.09
40.6806374336,0.09
41.1992538046,0.09
41.7178701756,0.09
42.2364865466,0.09
43.0526143786,0.09
43.8687422106,0.09
44.6848700426,0.09
46.0906915195,0.09
47.4965129964,0.09
48.9023344732,0.09
50.3081559501,0.09
51.7139774269,0.09
53.1197989038,0.09
54.5256203807,0.09
55.9314418575,0.09
57.3372633344,0.09
58.7430848112,0.09
60.1489062881,0.09
61.554727765,0.09
62.9605492418,0.09
64.3663707187,0.09
65.7721921956,0.09
67.1780136724,0.09
68.5838351493,0.09
69.9896566261,0.09
71.395478103,0.09
72.8012995799,0.09
73.5952624611,0.09
74.3892253424,0.09
75.1831882236,0.09
75.9771511049,0.09
76.7711139861,0.09
77.5650768674,0.09
78.3590397486,0.09
79.1530026299,0.09
79.9469655111,0.09
80.7409283924,0.09
81.5348912736,0.09
82.3288541548,0.09
83.1228170361,0.09
83.9167799173,0.09
84.7107427986,0.09
85.5047056798,0.09
86.2986685611,0.09
87.0926314423,0.09
87.5989144161,0.09
88.1051973899,0.09
88.6114803637,0.09
89.1177633375,0.09
89.6240463113,0.09
90.3844987821,0.09
91.1449512529,0.09
91.9054037237,0.09
93.3014648731,0.09
94.6975260224,0.09
96.0935871717,0.09
97.489648321,0.09
