time_ms,voltage_mv,current_nA
0,-70,0.09
0.00225618648504,-69.9652765876,0.09
0.00451237297008,-69.9380559496,0.09
0.00802458945225,-69.9035090604,0.09
0.013520363321,-69.8618579485,0.09
0.0235131610908,-69.8035871863,0.09
0.0335059588606,-69.7572463863,0.09
0.0434987566305,-69.7160857414,0.09
0.0597529664705,-69.6550995877,0.09
0.0760071763105,-69.6002712822,0.09
0.10259724939,-69.5191035082,0.09
0.129187322469,-69.4459539037,0.09
0.170472212379,-69.3430364647,0.09
0.211757102289,-69.2490435242,0.09
0.296472851199,-69.0747274078,0.09
0.38118860011,-68.915103755,0.09
0.46590434902,-68.7651026924,0.09
0.550620097931,-68.6231909613,0.09
0.635335846841,-68.4882277489,0.09
0.787293765915,-68.260125732,0.09
0.939251684989,-68.0458951191,0.09
1.09120960406,-67.8422605832,0.09
1.32888779715,-67.5407069946,0.09
1.56656599024,-67.2548567397,0.09
1.94144093404,-66.8276284632,0.09
2.31631587784,-66.4209126974,0.09
2.69119082165,-66.0289064995,0.09
3.28763738005,-65.4279203923,0.09
3.88408393846,-64.8499769777,0.09
4.48053049686,-64.2925243507,0.09
5.07697705527,-63.753448118,0.09
5.67342361367,-63.23192642,0.09
6.63237896415,-62.430417052,0.09
7.59133431462,-61.6764030764,0.09
8.5502896651,-60.9729712448,0.09
9.50924501558,-60.3218291694,0.09
10.4682003661,-59.7227521393,0.09
11.4271557165,-59.1748400784,0.09
12.386111067,-58.6755358638,0.09
13.3450664175,-58.2190044362,0.09
13.5848052551,-58.1104415754,0.09
13.8245440927,-58.003254406,0.09
14.2215882819,-57.8266345233,0.09
14.3208493292,-57.7820853828,0.09
14.4201103764,-57.7370297957,0.09
14.5193714237,-57.691260374,0.09
14.618632471,-57.6444323721,0.09
14.7178935183,-57.5959493943,0.09
14.8171545656,-57.5447711015,0.09
14.8419698274,-57.5313819826,0.09
14.8667850892,-57.5176771742,0.09
14.891600351,-57.5035982533,0.09
14.9169400915,-57.4887520832,0.09
14.9422798319,-57.4733179262,0.09
14.948614767,-57.4693527124,0.09
14.9549497021,-57.4653386505,0.09
14.9612846372,-57.4612721937,0.09
14.9676195723,-57.4571494695,0.09
14.9739545074,-57.4529661531,0.09
14.9775560018,-57.4505590812,0.09
14.9811574963,-57.4481298811,0.09
14.9833906323,-57.4466120546,0.09
14.9856237682,-57.4450850302,0.09
14.9878569042,-57.4435485156,0.09
14.9900900401,-57.4420022032,0.09
14.9913684962,-57.441112416,0.09
14.9926469522,-57.440219248,0.09
14.9939254083,-57.4393226325,0.09
14.9952038643,-57.438422501,0.09
14.9964823203,-57.4375187821,0.09
14.9977607764,-57.4366114018,0.09
14.9990392324,-57.4357002834,0.09
15.0003176885,-57.4347853467,0.09
15.0015961445,-57.4338665083,0.09
15.0028746006,-57.4329436811,0.09
15.0041530566,-57.4320167739,0.09
15.0054315127,-57.4310856913,0.09
15.0067099687,-57.4301503329,0.09
15.0079884248,-57.4292105929,0.09
15.0092668808,-57.4282663597,0.09
15.0105453369,-57.4273175145,0.09
15.0118237929,-57.426363931,0.09
15.0131022489,-57.4254054736,0.09
15.014380705,-57.4244419963,0.09
15.015659161,-57.4234733406,0.09
15.0169376171,-57.4224993333,0.09
15.0182160731,-57.4215197835,0.09
15.0194945292,-57.4205344795,0.09
15.0207729852,-57.4195431839,0.09
15.0220514413,-57.4185456292,0.09
15.0233298973,-57.4175415107,0.09
15.0246083534,-57.4165304794,0.09
15.0258868094,-57.4155121331,0.09
15.0271652655,-57.4144860049,0.09
15.0284437215,-57.4134515509,0.09
15.0297221775,-57.4124081345,0.09
15.0310006336,-57.4113550085,0.09
15.0322790896,-57.410291294,0.09
15.0335575457,-57.4092159559,0.09
15.0348360017,-57.4081277743,0.09
15.0361144578,-57.4070253121,0.09
15.0373929138,-57.4059068767,0.09
15.0386713699,-57.4047704756,0.09
15.0399498259,-57.4036137655,0.09
15.0419556634,-57.4017511319,0.09
15.0439615008,-57.3998183993,0.09
15.0459673383,-57.3977989333,0.09
15.0479731757,-57.3956714181,0.09
15.0499790132,-57.3934087862,0.09
15.0519848506,-57.3909769086,0.09
15.0539906881,-57.3883328729,0.09
15.0559965255,-57.3854228739,0.09
15.058002363,-57.3821798343,0.09
15.0600082004,-57.3785207658,0.09
15.0620140379,-57.3743435191,0.09
15.0640198753,-57.3695222858,0.09
15.0660257128,-57.3639015692,0.09
15.0680315502,-57.357289348,0.09
15.0700373877,-57.3494509135,0.09
15.0720432251,-57.3401038771,0.09
15.0740490626,-57.3289112295,0.09
15.0760549,-57.3154661655,0.09
15.0780607375,-57.2992668014,0.09
15.0800665749,-57.2796903582,0.09
15.0820724124,-57.2559818008,0.09
15.0840782498,-57.227264247,0.09
15.0860840873,-57.1925550306,0.09
15.0880899247,-57.1507289158,0.09
15.0900957622,-57.1003763254,0.09
15.0921015996,-57.0396367089,0.09
15.0941074371,-56.9661884883,0.09
15.0961132745,-56.8774721465,0.09
15.098119112,-56.7710734647,0.09
15.1001249494,-56.6451415735,0.09
15.1021307869,-56.498629562,0.09
15.1041366243,-56.3309538711,0.09
15.1061424618,-56.1406948797,0.09
15.1081482992,-55.9237469325,0.09
15.1101541367,-55.6725462076,0.09
15.1121599741,-55.3776994682,0.09
15.1141658116,-55.0309575051,0.09
15.116171649,-54.6278327357,0.09
15.1181774865,-54.1694188364,0.09
15.1201833239,-53.6629720495,0.09
15.1221891614,-53.1205096579,0.09
15.1241949988,-52.5556052102,0.09
15.1262008363,-51.9803881894,0.09
