time_ms,voltage_mv,current_nA
0,-70,0
0.00345596207284,-70.0003601973,0
0.0377022291882,-70.0040135939,0
0.112983424409,-70.01200951,0
0.242620904374,-70.0256314264,0
0.372258384338,-70.0391319207,0
0.596986026221,-70.0622617452,0
0.949055834203,-70.0980926018,0
1.30112564218,-70.133509425,0
2.15538377794,-70.2182163829,0
3.00964191369,-70.3014308751,0
3.86390004944,-70.3837258229,0
4.71815818519,-70.4652849898,0
6.02037870289,-70.5882361385,0
7.32259922058,-70.7091647983,0
8.62481973828,-70.8275754172,0
10.9860813246,-71.0343790824,0
13.3473429109,-71.2279345149,0
15.7086044972,-71.4056472742,0
18.0698660835,-71.5674343683,0
20.4311276698,-71.7123207283,0
22.7923892561,-71.8407771672,0
25.1536508424,-71.9545331132,0
27.5149124287,-72.0532674461,0
29.876174015,-72.1378968205,0
32.2374356013,-72.2108245891,0
34.5986971876,-72.2721005365,0
36.9599587739,-72.3233488965,0
39.3212203602,-72.3666332039,0
41.6824819465,-72.4018086905,0
44.0437435328,-72.4302709755,0
46.4050051191,-72.452618063,0
48.7662667054,-72.4692769545,0
51.1275282917,-72.481911303,0
53.488789878,-72.4906170847,0
55.8500514643,-72.495708064,0
58.2113130506,-72.4979346072,0
60.5725746369,-72.4975919048,0
62.9338362232,-72.4951959702,0
65.2950978095,-72.491148396,0
67.6563593958,-72.4855050676,0
70.0176209821,-72.4787985794,0
72.3788825684,-72.4711924831,0
74.7401441547,-72.4627300194,0
77.101405741,-72.4538115949,0
79.4626673273,-72.4442673633,0
81.8239289136,-72.4342167457,0
84.1851904999,-72.4241040807,0
86.5464520862,-72.4137163447,0
88.9077136725,-72.4031230742,0
91.2689752588,-72.3924193976,0
93.6302368451,-72.3815378372,0
95.9914984314,-72.3706991383,0
98.3527600178,-72.3599829044,0
100.714021604,-72.3493527005,0
103.07528319,-72.3390035293,0
105.436544777,-72.3288719941,0
107.797806363,-72.3188641807,0
111.872968978,-72.3020847808,0
115.948131593,-72.2859337667,0
120.023294207,-72.2704337636,0
124.098456822,-72.2556045405,0
128.173619437,-72.24149851,0
132.248782052,-72.2281170213,0
136.323944666,-72.2153964025,0
140.399107281,-72.2033297868,0
144.474269896,-72.191908252,0
148.549432511,-72.1811109909,0
152.624595126,-72.1709324005,0
156.69975774,-72.1613811896,0
160.774920355,-72.1524149561,0
164.85008297,-72.1440106816,0
168.925245585,-72.1361258872,0
173.0004082,-72.1287315007,0
177.075570814,-72.1217866711,0
181.150733429,-72.1152521418,0
185.225896044,-72.1091062737,0
191.747793109,-72.1004732401,0
198.269690174,-72.092491981,0
204.79158724,-72.0853353221,0
211.313484305,-72.078905928,0
227.972398429,-72.065319575,0
244.631312553,-72.0545614398,0
280.76500112,-72.0397979973,0
316.898689686,-72.0302740573,0
353.032378253,-72.0261717412,0
389.16606682,-72.0237082144,0
425.299755386,-72.0227788495,0
461.433443953,-72.0214644412,0
497.56713252,-72.0210863223,0
533.700821086,-72.0209708391,0
569.834509653,-72.0214014123,0
629.164680044,-72.0217956987,0
688.494850435,-72.0221761519,0
747.825020826,-72.0224167942,0
807.155191217,-72.0226621052,0
940.788278815,-72.0226760488,0
1074.42136641,-72.022765928,0
1208.05445401,-72.0224900249,0
1341.68754161,-72.0230626495,0
1475.32062921,-72.0233930685,0
1608.9537168,-72.0233403853,0
1742.5868044,-72.0232262987,0
1876.219892,-72.0231738702,0
2009.8529796,-72.023118337,0
2143.4860672,-72.0232940963,0
2277.11915479,-72.0234687442,0
2410.75224239,-72.0234573556,0
2710.88284372,-72.0235163645,0
3011.01344505,-72.0235881478,0
3311.14404638,-72.0233702915,0
3611.2746477,-72.0242456048,0
3911.40524903,-72.0239830746,0
3986.43789936,-72.023644044,0
4061.4705497,-72.0231387389,0
4136.50320003,-72.0232194312,0
4211.53585036,-72.0237645804,0
4286.56850069,-72.0238433134,0
4409.43125674,-72.0237352515,0
4532.29401278,-72.0234238585,0
4655.15676883,-72.0237040563,0
4778.01952488,-72.0241302543,0
4900.88228092,-72.0247333619,0
5023.74503697,-72.0243083083,0
5146.60779302,-72.022370264,0
5225.05693956,-72.0224652335,0
5303.50608611,-72.0241193251,0
5381.95523265,-72.0242335693,0
5401.56751929,-72.0239036507,0
5421.17980593,-72.0234204607,0
5440.79209256,-72.0233165655,0
5460.4043792,-72.023656855,0
5480.01666583,-72.0237996066,0
5499.62895247,-72.0237873335,0
5519.24123911,-72.0234929543,0
5549.47123651,-72.0230720195,0
5579.70123391,-72.023604729,0
5609.93123132,-72.0245695547,0
5640.16122872,-72.0250046555,0
5670.39122612,-72.024245797,0
5700.62122353,-72.0230190657,0
5730.85122093,-72.0233453437,0
5761.08121833,-72.024938014,0
5791.31121574,-72.0261071161,0
5821.54121314,-72.0254411607,0
5851.77121054,-72.0238054981,0
5882.00120795,-72.0224198245,0
5900.88313951,-72.0225618868,0
5919.76507108,-72.0229738231,0
5938.64700265,-72.0235434901,0
5957.52893422,-72.0239357705,0
5976.41086578,-72.0241641774,0
5995.29279735,-72.0238766471,0
6014.17472892,-72.0234226835,0
6033.05666049,-72.0232132147,0
6051.93859205,-72.0235167047,0
6083.1156259,-72.0235288318,0
6114.29265974,-72.0234771872,0
6145.46969359,-72.0232343813,0
6176.64672743,-72.0235408681,0
6207.82376127,-72.0236222084,0
6224.95133242,-72.0237143964,0
6242.07890356,-72.0237325707,0
6259.2064747,-72.024012444,0
6276.33404584,-72.0244099888,0
6293.46161698,-72.0246682841,0
6310.58918812,-72.0247200627,0
6340.12764547,-72.0243568541,0
6369.66610282,-72.0238664739,0
6399.20456017,-72.0236147145,0
6451.56060516,-72.0238738616,0
6503.91665015,-72.0242138926,0
6556.27269514,-72.0245523753,0
6608.62874013,-72.0242439704,0
6660.98478512,-72.0240907097,0
6713.34083011,-72.0239665451,0
6765.6968751,-72.0242890757,0
6818.05292009,-72.0244269435,0
6870.40896508,-72.0243889233,0
6922.76501007,-72.0242899585,0
7043.80531476,-72.0238625299,0
7338.23006752,-72.0240811077,0
7632.65482029,-72.0241428322,0
7927.07957305,-72.0240408592,0
8221.50432582,-72.0242304708,0
8515.92907858,-72.0241933028,0
8810.35383134,-72.0242531937,0
9104.77858411,-72.0241004597,0
9399.20333687,-72.0241791533,0
9693.62808964,-72.024216147,0
10429.6801712,-72.0243281148,0
11165.7322527,-72.0243333604,0
12582.8233087,-72.0243953648,0
13000,-72.0244287929,0
13000,-72.0244287929,0
13000.2007172,-72.023919951,9.03227371152e-05
13000.8254499,-72.018616673,0.000371452464644
13001.771606,-72.0058645987,0.000797222720336
13002.7177622,-71.9874745501,0.00122299297603
13004.1774132,-71.9496500775,0.00187983592673
13005.6370642,-71.9006573139,0.00253667887743
13007.888968,-71.8070974435,0.00355003560538
13010.1408719,-71.6942539759,0.00456339233332
13012.3927757,-71.5652043929,0.00557674906127
13016.1530609,-71.3193536137,0.00726887741665
13019.9133462,-71.0409120579,0.00896100577202
13023.6736314,-70.7363294575,0.0106531341274
13027.4339166,-70.4034414902,0.0123452624828
13031.1942019,-70.0513196817,0.0140373908382
13034.9544871,-69.6795940795,0.0157295191935
13038.7147723,-69.2822111277,0.0174216475489
13042.4750576,-68.8653270192,0.0191137759043
13046.2353428,-68.4212128706,0.0208059042597
13049.995628,-67.9494794713,0.022498032615
13053.7559133,-67.4455560966,0.0241901609704
13057.5161985,-66.8973868259,0.0258822893258
13061.2764837,-66.2936865403,0.0275744176812
13065.036769,-65.6059974936,0.0292665460365
13068.7970542,-64.7910555819,0.0309586743919
13072.5573394,-63.7928065284,0.0326508027473
13074.3854211,-63.1866462017,0.0334734395166
13076.2135029,-62.4283147059,0.0342960762858
13078.0415846,-61.4214002711,0.0351187130551
13078.9607125,-60.7629960784,0.0355323206473
13079.8798405,-59.9202176941,0.0359459282394
13080.4570676,-59.2428160941,0.0362056804326
13081.0342947,-58.375817227,0.0364654326259
13081.6115218,-57.1940002567,0.0367251848191
13081.9010277,-56.4143123802,0.0368554624553
13082.1905335,-55.4267601427,0.0369857400915
13082.4800394,-54.122227958,0.0371160177278
13082.6324751,-53.2478940978,0.0371846137791
13082.7849107,-52.1763204941,0.0372532098304
13082.9373464,-50.8275219878,0.0373218058818
13083.034525,-49.7698530191,0.0373655362476
13083.1317036,-48.4995450083,0.0374092666134
13083.2288822,-46.9419608226,0.0374529969792
13083.3260608,-44.9889094914,0.0374967273451
13083.3832584,-43.596755332,0.0375224662674
13083.440456,-41.9699914046,0.0375482051897
13083.4976536,-40.0496427797,0.0375739441121
13083.5548512,-37.7609787702,0.0375996830344
13083.6120488,-35.0110567102,0.0376254219567
13083.6692464,-31.6849249589,0.0376511608791
13083.726444,-27.6539713263,0.0376768998014
13083.7539381,-25.4315171638,0.0376892721631
13083.7814323,-23.0084468937,0.0377016445249
13083.8089264,-20.3808129423,0.0377140168866
13083.8364206,-17.5521996811,0.0377263892483
