time_ms,voltage_mv,current_nA
0,-70,0.09
0.000661779782143,-69.9877913495,0.09
0.00132355956429,-69.9765484054,0.09
0.00239359233839,-69.9597515181,0.09
0.00346362511249,-69.9444887942,0.09
0.00666954422382,-69.9052557518,0.09
0.00987546333516,-69.8732085346,0.09
0.0130813824465,-69.8457026663,0.09
0.0162873015578,-69.8212433902,0.09
0.0215488848043,-69.7854269532,0.09
0.0323809200142,-69.7230905685,0.09
0.051516317127,-69.6370168182,0.09
0.0706517142399,-69.5720143528,0.09
0.100673233588,-69.4917291183,0.09
0.130694752937,-69.4295024165,0.09
0.175788317227,-69.3536909183,0.09
0.220881881517,-69.2922008268,0.09
0.265975445806,-69.2393118064,0.09
0.343230102377,-69.1605334142,0.09
0.420484758947,-69.0911341078,0.09
0.497739415517,-69.0272234471,0.09
0.636207004439,-68.9223697884,0.09
0.774674593361,-68.824981618,0.09
0.913142182284,-68.7327423065,0.09
1.05160977121,-68.6450038609,0.09
1.19007736013,-68.5610714643,0.09
1.32854494905,-68.4802504781,0.09
1.55521088493,-68.3533945138,0.09
1.78187682081,-68.2319606642,0.09
2.00854275669,-68.1149321062,0.09
2.36267338092,-67.9393822336,0.09
2.71680400516,-67.7711034152,0.09
3.25308581199,-67.5275763851,0.09
3.78936761882,-67.2953391919,0.09
4.32564942565,-67.0727132086,0.09
4.86193123248,-66.8584430525,0.09
5.39821303931,-66.6517535641,0.09
5.93449484614,-66.4519706153,0.09
6.47077665297,-66.2586317886,0.09
7.36281398646,-65.9502127541,0.09
8.25485131995,-65.6573280365,0.09
9.14688865344,-65.3788325378,0.09
10.0389259869,-65.1139212794,0.09
10.9309633204,-64.8618657318,0.09
11.8230006539,-64.6221783466,0.09
12.7150379874,-64.3943386393,0.09
13.6070753209,-64.1778585272,0.09
14.4991126544,-63.9723162445,0.09
15.3911499879,-63.7773806172,0.09
16.2831873213,-63.5925348921,0.09
17.1752246548,-63.4174200413,0.09
18.0672619883,-63.2517911843,0.09
18.9592993218,-63.0951543813,0.09
19.8513366553,-62.9470648096,0.09
20.7433739888,-62.8074683345,0.09
21.6354113223,-62.6758590059,0.09
22.5274486558,-62.5516116134,0.09
23.4194859892,-62.4349176169,0.09
24.3115233227,-62.325419517,0.09
25.2035606562,-62.2220245292,0.09
26.0955979897,-62.1252215394,0.09
26.9876353232,-62.0352065863,0.09
28.330302296,-61.9082146476,0.09
29.6729692688,-61.7950563439,0.09
31.0156362416,-61.6942555865,0.09
32.3583032144,-61.5993213797,0.09
33.7009701872,-61.5186169569,0.09
35.04363716,-61.4529995915,0.09
36.3863041328,-61.3758323064,0.09
37.7289711056,-61.319608369,0.09
39.0716380784,-61.2673701608,0.09
40.4143050512,-61.2280823985,0.09
41.756972024,-61.1925423773,0.09
43.0996389968,-61.1457501122,0.09
44.4423059696,-61.121174309,0.09
45.7849729424,-61.1015728993,0.09
47.1276399152,-61.051445088,0.09
47.9642676124,-61.0441043151,0.09
48.4966975202,-61.0508810027,0.09
49.029127428,-61.0509648797,0.09
49.5615573358,-61.0496364959,0.09
50.0939872435,-61.0473924925,0.09
50.6264171513,-61.0421783858,0.09
51.1588470591,-61.036324268,0.09
